fac_no_faction|No Faction
fac_commoners|平 民 
fac_outlaws|不 法 之 徒 
fac_neutral|中 立 者 
fac_innocents|无 辜 者 
fac_merchants|商 人 
fac_player_faction|玩 家 阵 营 
fac_player_supporters_faction|玩 家 支 持 者 阵 营 
fac_kingdom_1|会 津 藩 
fac_kingdom_2|仙 台 藩 
fac_kingdom_3|津 藩 
fac_kingdom_4|长 州 藩 
fac_kingdom_5|福 井 藩 
fac_kingdom_6|江 户 幕 府 
fac_kingdom_7|纪 州 藩 
fac_kingdom_8|鸟 取 藩 
fac_kingdom_9|福 冈 藩 
fac_kingdom_10|盛 冈 藩 
fac_kingdom_11|桑 名 藩 
fac_kingdom_12|土 佐 藩 
fac_kingdom_13|广 岛 藩 
fac_kingdom_14|米 泽 藩 
fac_kingdom_15|萨 摩 藩 
fac_kingdom_16|佐 贺 藩 
fac_kingdom_17|水 户 藩 
fac_kingdom_18|长 冈 藩 
fac_kingdom_19|冈 山 藩 
fac_kingdom_20|加 贺 藩 
fac_kingdom_21|熊 本 藩 
fac_kingdom_22|松 山 藩 
fac_kingdom_23|尾 张 藩 
fac_kingdom_24|德 岛 藩 
fac_kingdom_25|庄 内 藩 
fac_kingdom_26|久 保 田 藩 
fac_kingdom_27|彦 根 藩 
fac_manhunters|赏 金 猎 人 
fac_deserters|乱 军 
fac_woku_pirates|山 匪 
fac_shinano_rebel|森 林 强 盗 
