trp_multiplayer_profile_troop_male|multiplayer profile troop male
trp_multiplayer_profile_troop_male_pl|联 机 男 性 玩 家 角 色 
trp_multiplayer_profile_troop_female|联 机 女 性 玩 家 角 色 
trp_multiplayer_profile_troop_female_pl|联 机 女 性 玩 家 角 色 
trp_temp_troop|Temp Troop 
trp_temp_troop_pl|Temp Troop 
trp_find_item_cheat|find item cheat 
trp_find_item_cheat_pl|find item cheat 
trp_random_town_sequence|Random Town Sequence 
trp_random_town_sequence_pl|Random Town Sequence 
trp_tournament_participants|竞 技 场 选 手 
trp_tournament_participants_pl|竞 技 场 选 手 
trp_tutorial_maceman|锤 子 手 
trp_tutorial_maceman_pl|锤 子 手 
trp_tutorial_archer|弓 箭 手 
trp_tutorial_archer_pl|弓 箭 手 
trp_tutorial_swordsman|剑 士 
trp_tutorial_swordsman_pl|剑 士 
trp_novice_fighter|初 级 斗 士 
trp_novice_fighter_pl|初 级 斗 士 
trp_regular_fighter|正 规 斗 士 
trp_regular_fighter_pl|正 规 斗 士 
trp_veteran_fighter|资 深 斗 士 
trp_veteran_fighter_pl|资 深 斗 士 
trp_champion_fighter|精 英 斗 士 
trp_champion_fighter_pl|精 英 斗 士 
trp_arena_training_fighter_1|初 级 斗 士 
trp_arena_training_fighter_1_pl|初 级 斗 士 
trp_arena_training_fighter_2|初 级 斗 士 
trp_arena_training_fighter_2_pl|初 级 斗 士 
trp_arena_training_fighter_3|正 规 斗 士 
trp_arena_training_fighter_3_pl|正 规 斗 士 
trp_arena_training_fighter_4|正 规 斗 士 
trp_arena_training_fighter_4_pl|正 规 斗 士 
trp_arena_training_fighter_5|正 规 斗 士 
trp_arena_training_fighter_5_pl|正 规 斗 士 
trp_arena_training_fighter_6|资 深 斗 士 
trp_arena_training_fighter_6_pl|资 深 斗 士 
trp_arena_training_fighter_7|资 深 斗 士 
trp_arena_training_fighter_7_pl|资 深 斗 士 
trp_arena_training_fighter_8|资 深 斗 士 
trp_arena_training_fighter_8_pl|资 深 斗 士 
trp_arena_training_fighter_9|精 英 斗 士 
trp_arena_training_fighter_9_pl|精 英 斗 士 
trp_arena_training_fighter_10|精 英 斗 士 
trp_arena_training_fighter_10_pl|精 英 斗 士 
trp_cattle|牛 
trp_cattle_pl|牛 
trp_farmer|町 人 
trp_farmer_pl|町 人 
trp_townsman|町 人 
trp_townsman_pl|町 人 
trp_hired_guard|雇 佣 护 卫 
trp_hired_guard_pl|雇 佣 护 卫 
trp_yojimbo|浪 人 
trp_yojimbo_pl|浪 人 
trp_hired_warrior|雇 佣 徒 士 
trp_hired_warrior_pl|雇 佣 徒 士 
trp_hired_warrior_veteran|雇 佣 小 姓 
trp_hired_warrior_veteran_pl|雇 佣 小 姓 
trp_hired_gunner|雇 佣 铁 炮 手 
trp_hired_gunner_pl|雇 佣 铁 炮 手 
trp_hired_agent|忍 者 
trp_hired_agent_pl|忍 者 
trp_hired_agent_experienced|上 忍 
trp_hired_agent_experienced_pl|上 忍 
trp_mercenaries_end|mercenaries end 
trp_mercenaries_end_pl|mercenaries end 
trp_gekokujo_uesugi_villager|会 津 藩 足 轻 白 虎 队 
trp_gekokujo_uesugi_villager_pl|会 津 藩 足 轻 白 虎 队 
trp_gekokujo_uesugi_spearman|会 津 藩 枪 队 
trp_gekokujo_uesugi_spearman_pl|会 津 藩 枪 队 
trp_gekokujo_uesugi_skirmisher|会 津 铁 炮 藩 兵 
trp_gekokujo_uesugi_skirmisher_pl|会 津 铁 炮 藩 兵 
trp_gekokujo_uesugi_trained_spearman|会 津 藩 枪 徒 士 
trp_gekokujo_uesugi_trained_spearman_pl|会 津 藩 枪 徒 士 
trp_gekokujo_uesugi_trained_skirmisher|会 津 徒 士 铁 炮 组 
trp_gekokujo_uesugi_trained_skirmisher_pl|会 津 徒 士 铁 炮 组 
trp_gekokujo_uesugi_veteran_spearman|会 津 奇 勝 队 足 轻 
trp_gekokujo_uesugi_veteran_spearman_pl|会 津 奇 勝 队 足 轻 
trp_gekokujo_uesugi_veteran_skirmisher|会 津 弓 徒 士 
trp_gekokujo_uesugi_veteran_skirmisher_pl|会 津 弓 徒 士 
trp_gekokujo_uesugi_elite_skirmisher|会 津 步 枪 队 
trp_gekokujo_uesugi_elite_skirmisher_pl|会 津 步 枪 队 
trp_gekokujo_date_villager|仙 台 民 兵 
trp_gekokujo_date_villager_pl|仙 台 民 兵 
trp_gekokujo_date_spearman|仙 台 足 轻 
trp_gekokujo_date_spearman_pl|仙 台 足 轻 
trp_gekokujo_date_skirmisher|仙 台 射 手 足 轻 
trp_gekokujo_date_skirmisher_pl|仙 台 射 手 足 轻 
trp_gekokujo_date_trained_spearman|仙 台 熟 练 足 轻 
trp_gekokujo_date_trained_spearman_pl|仙 台 熟 练 足 轻 
trp_gekokujo_date_trained_skirmisher|仙 台 足 轻 铁 炮 组 
trp_gekokujo_date_trained_skirmisher_pl|仙 台 足 轻 铁 炮 组 
trp_gekokujo_date_veteran_spearman|仙 台 资 深 枪 队 
trp_gekokujo_date_veteran_spearman_pl|仙 台 资 深 枪 队 
trp_gekokujo_date_veteran_skirmisher|仙 台 松 山 步 枪 队 
trp_gekokujo_date_veteran_skirmisher_pl|仙 台 松 山 步 枪 队 
trp_gekokujo_date_elite_spearman|仙 台 乌 组 冲 击 队 
trp_gekokujo_date_elite_spearman_pl|仙 台 乌 组 冲 击 队 
trp_gekokujo_oda_villager|藤 堂 民 兵 
trp_gekokujo_oda_villager_pl|藤 堂 民 兵 
trp_gekokujo_oda_spearman|藤 堂 足 轻 
trp_gekokujo_oda_spearman_pl|藤 堂 足 轻 
